"sample_pdf","site","latitude","longitude","date","sample_card","specie","sepal_lenght_cm","sepal_width_cm","petal_lenght_cm","petal_width_cm"
"A1","site_1","48.935966","-64.840984","01-12-1929","A18","Iris setosa",5.1,3.5,1.4,0.3
"A5","site_1","48.935966","-64.840984","02-12-1929","A30","Iris setosa",4.7,3.2,1.6,0.2
"A9","site_1","48.935966","-64.840984","02-12-1929","A47","Iris setosa",4.5,2.3,1.3,0.3
"A37","site_1","48.935966","-64.840984","02-12-1929","A28","Iris setosa",5.2,3.5,1.5,0.2
"A59","site_1","48.935966","-64.840984","02-12-1929","A75","Iris setosa",6.4,2.9,4.3,1.3
"A82","site_2","48.540.502","-64.766512","02-12-1929","A95","Iris setosa",5.6,2.7,4.2,1.3
"A88","site_3","48.329.837","-65.512333","02-12-1929","A64","Iris setosa",6.1,2.9,4.7,1.4
"A102","site_1","48.935966","-64.840984","02-12-1929","A105","Iris setosa",6.5,3,5.8,2.2
"A105","site_1","48.935966","-64.840984","02-12-1929","A114","Iris setosa",5.7,2.5,5,2
"A109","site_1","48.935966","-64.840984","02-12-1929","A126","Iris setosa",7.2,3.2,6,1.8
"A113","site_1","48.935966","-64.840984","02-12-1929","A138","Iris setosa",6.4,3.1,5.5,1.8
"A114","site_1","48.935966","-64.840984","02-12-1929","A141","Iris setosa",6.7,3.1,5.6,2.4
"A117","site_1","48.935966","-64.840984","02-12-1929","A150","Iris setosa",5.9,3,5.1,1.8
"A118","site_2","48.540.502","-64.766512","02-12-1929","A101","Iris setosa",6.3,3.3,6,2.5
"A133","site_2","48.540.502","-64.766512","02-12-1929","A146","Iris setosa",6.7,3,5.2,2.3
"A24","site_2","48.540502","-64.766512","13/02/1930","A38","Iris setosa",4.9,3.6,1.4,0.1
"A148","site_3","48.329837","-65.512333","01/12/1929","A142","Iris virginica",6.9,3.1,5.1,2.3
"A70","site_2","48.540502","-64.766512","13/02/1930","A59","Iris versicolor",6.6,2.9,4.6,1.3
"A16","site_1","48.935966","-64.840984","01/12/1929","A15","Iris setosa",5.8,4,1.2,0.2
"A67","site_1","48.935966","-64.840984","01/12/1929","A99","Iris versicolor",5.1,2.5,3,1.1
"A144","site_3","48.329837","-65.512333","01/12/1929","A130","Iris virginica",7.2,3,5.8,1.6
"A92","site_3","48.329837","-65.512333","01/12/1929","A76","Iris versicolor",6.6,3,4.4,1.4
"A108","site_1","48.935966","-64.840984","01/12/1929","A123","Iris virginica",7.7,2.8,6.7,2
"A112","site_1","48.935966","-64.840984","01/12/1929","A135","Iris virginica",6.1,2.6,5.6,1.4
"A81","site_2","48.540502","-64.766512","13/02/1930","A92","Iris versicolor",6.1,3,4.6,1.4
"A51","site_1","48.935966","-64.840984","01/12/1929","A51","Iris versicolor",7,3.2,4.7,1.4
"A75","site_2","48.540502","-64.766512","13/02/1930","A74","Iris versicolor",6.1,2.8,4.7,1.2
"A32","site_2","48.540502","-64.766512","13/02/1930","A11","Iris setosa",5.4,3.7,1.5,0.2
"A34","site_3","48.329837","-65.512333","01/12/1929","A19","Iris setosa",5.7,3.8,1.7,0.3
"A52","site_1","48.935966","-64.840984","01/12/1929","A54","Iris versicolor",5.5,2.3,4,1.3
"A2","site_1","48.935966","-64.840984","01-12-1929","A21","Iris setosa",5.4,3.4,1.7,0.2
"A6","site_1","48.935966","-64.840984","01-12-1929","A33","Iris setosa",5.2,4.1,1.5,0.1
"A8","site_1","48.935966","-64.840984","01-12-1929","A39","Iris setosa",4.4,3,1.3,0.2
"A19","site_2","48.540502","-64.766512","13-02-1930","A23","Iris setosa",4.6,3.6,1,0.2
"A28","site_2","48.540502","-64.766512","13-02-1930","A50","Iris setosa",5,3.3,1.4,0.2
"A30","site_2","48.540502","-64.766512","13-02-1930","A5","Iris setosa",5,3.6,1.4,0.2
"A35","site_3","48.329837","-65.512333","01-12-1929","A22","Iris setosa",5.1,3.7,1.5,0.4
"A43","site_3","48.329837","-65.512333","01-12-1929","A46","Iris setosa",4.8,3,1.4,0.3
"A74","site_2","48.540502","-64.766512","13-02-1930","A71","Iris versicolor",5.9,3.2,4.8,1.8
