"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-38.010438,-12.581289,NA,"Stegastes variabilis"
"gbif",-38.010114,-12.581595,NA,"Stegastes variabilis"
"gbif",-38.010158,-12.581883,NA,"Stegastes variabilis"
"gbif",-40.273276,-20.333822,NA,"Stegastes variabilis"
"gbif",-35.079243,-8.705033,NA,"Stegastes variabilis"
"gbif",-45.288069,-23.843822,NA,"Stegastes variabilis"
"gbif",-60.549206,11.325742,NA,"Stegastes variabilis"
"gbif",-38.001869,-12.578083,NA,"Stegastes variabilis"
"gbif",-38.994629,-14.28014,NA,"Stegastes variabilis"
"gbif",-61.21461,14.78133,NA,"Stegastes variabilis"
"gbif",-61.21764,14.78562,NA,"Stegastes variabilis"
"gbif",-67.0779,17.9412,3.05,"Stegastes variabilis"
"gbif",-67.01861,17.93498,10.97,"Stegastes variabilis"
"gbif",-67.01861,17.93498,9.14,"Stegastes variabilis"
"gbif",-67.16075,18.44494,10.06,"Stegastes variabilis"
"gbif",-65.60128,18.22362,11.28,"Stegastes variabilis"
"gbif",-67.16075,18.44494,12.19,"Stegastes variabilis"
"gbif",-67.16075,18.44494,12.8,"Stegastes variabilis"
"gbif",-67.16822,18.46281,8.23,"Stegastes variabilis"
"gbif",-67.16822,18.46281,9.45,"Stegastes variabilis"
"gbif",-67.16075,18.44494,11.28,"Stegastes variabilis"
"gbif",-67.16075,18.44494,10.67,"Stegastes variabilis"
"gbif",-66.08705,18.45372,5.79,"Stegastes variabilis"
"gbif",-66.08705,18.45372,4.88,"Stegastes variabilis"
"gbif",-67.01861,17.93498,11.89,"Stegastes variabilis"
"gbif",-65.60128,18.22362,6.1,"Stegastes variabilis"
"gbif",-67.01861,17.93498,7.62,"Stegastes variabilis"
"gbif",-67.27367,18.16304,11,"Stegastes variabilis"
"gbif",-67.27524,18.16517,18,"Stegastes variabilis"
"gbif",-67.27632,18.16637,31.5,"Stegastes variabilis"
"gbif",-67.26997,18.34732,11,"Stegastes variabilis"
"gbif",-67.26688,18.35072,4,"Stegastes variabilis"
"gbif",-67.27118,18.34652,18,"Stegastes variabilis"
"gbif",-67.26573,18.35065,2.44,"Stegastes variabilis"
"gbif",-66.08705,18.45372,7.62,"Stegastes variabilis"
"gbif",-66.08705,18.45372,5.49,"Stegastes variabilis"
"gbif",-67.01861,17.93498,11.28,"Stegastes variabilis"
"gbif",-66.08705,18.45372,5.18,"Stegastes variabilis"
"gbif",-67.16822,18.46281,9.14,"Stegastes variabilis"
"gbif",-67.01861,17.93498,12.8,"Stegastes variabilis"
"gbif",-65.60128,18.22362,4.88,"Stegastes variabilis"
"gbif",-66.08705,18.45372,7.01,"Stegastes variabilis"
"gbif",-66.95998,17.89755,18,"Stegastes variabilis"
"gbif",-67.23322,17.99116,11,"Stegastes variabilis"
"gbif",-67.3299,18.0017,4,"Stegastes variabilis"
"gbif",-66.9978,17.88827,18,"Stegastes variabilis"
"gbif",-67.16822,18.46281,8.53,"Stegastes variabilis"
"gbif",-67.16822,18.46281,11.58,"Stegastes variabilis"
"gbif",-67.16075,18.44494,9.75,"Stegastes variabilis"
"gbif",-67.16822,18.46281,9.75,"Stegastes variabilis"
"gbif",-66.87385,17.93657,4,"Stegastes variabilis"
"gbif",-66.88836,17.93626,4,"Stegastes variabilis"
"gbif",-66.7563,17.9649,4,"Stegastes variabilis"
"gbif",-66.75284,17.96093,11,"Stegastes variabilis"
"gbif",-66.74697,17.95955,18,"Stegastes variabilis"
"gbif",-67.0485,17.93472,11,"Stegastes variabilis"
"gbif",-67.05067,17.93937,4,"Stegastes variabilis"
"gbif",-64.99104,18.31822,12,"Stegastes variabilis"
"gbif",-65.03442,18.35738,8,"Stegastes variabilis"
"gbif",-64.98435,18.34403,6,"Stegastes variabilis"
"gbif",-64.94592,18.28068,20,"Stegastes variabilis"
"gbif",-35.085098,-8.715203,NA,"Stegastes variabilis"
"gbif",-66.52824,17.89507,4,"Stegastes variabilis"
"gbif",-66.3025,17.93457,4,"Stegastes variabilis"
"gbif",-66.60856,17.90404,18,"Stegastes variabilis"
"gbif",-66.21401,17.91544,11,"Stegastes variabilis"
"gbif",-64.83238,18.29459,15,"Stegastes variabilis"
"gbif",-64.59743,17.76278,7,"Stegastes variabilis"
"gbif",-64.8135,17.77388,10,"Stegastes variabilis"
"gbif",-64.6988,17.7615,10,"Stegastes variabilis"
"gbif",-64.70402,18.33797,9,"Stegastes variabilis"
"gbif",-64.75862,18.24447,30,"Stegastes variabilis"
"gbif",-64.8954,17.734,8,"Stegastes variabilis"
"gbif",-64.65221,17.71097,6,"Stegastes variabilis"
"gbif",-64.90008,17.69116,17,"Stegastes variabilis"
"gbif",-64.75917,17.78523,30,"Stegastes variabilis"
"gbif",-64.60917,17.785,15,"Stegastes variabilis"
"gbif",-64.7594,17.7853,11,"Stegastes variabilis"
"gbif",-64.8624,17.6366,24,"Stegastes variabilis"
"gbif",-64.76408,18.31417,6,"Stegastes variabilis"
"gbif",-64.81522,17.77661,38,"Stegastes variabilis"
"gbif",-64.59935,17.80659,33,"Stegastes variabilis"
"gbif",-64.93438,18.37425,7,"Stegastes variabilis"
"gbif",-64.86058,18.31257,7,"Stegastes variabilis"
"gbif",-35.260004,-9.09787,NA,"Stegastes variabilis"
"gbif",-61.22053,14.78867,NA,"Stegastes variabilis"
"gbif",-64.5716,17.74337,14,"Stegastes variabilis"
"gbif",-67.25297,18.17202,18,"Stegastes variabilis"
"gbif",-67.24758,18.14658,4,"Stegastes variabilis"
"gbif",-67.24803,18.14653,11,"Stegastes variabilis"
"gbif",-67.1919,18.1893,4,"Stegastes variabilis"
"gbif",-67.20057,18.23353,11,"Stegastes variabilis"
"gbif",-67.20092,18.2335,18,"Stegastes variabilis"
"gbif",-67.16267,18.45713,7.01,"Stegastes variabilis"
"gbif",-67.16075,18.44494,9.14,"Stegastes variabilis"
"gbif",-67.01861,17.93498,9.45,"Stegastes variabilis"
"gbif",-67.16075,18.44494,10.36,"Stegastes variabilis"
"gbif",-67.01861,17.93498,10.67,"Stegastes variabilis"
"gbif",-74.20697,11.27335,NA,"Stegastes variabilis"
"gbif",-67.4886,18.38158,18,"Stegastes variabilis"
"gbif",-67.484,18.37747,31.5,"Stegastes variabilis"
"gbif",-67.48833,18.382,18,"Stegastes variabilis"
"gbif",-67.16822,18.46281,7.92,"Stegastes variabilis"
"gbif",-65.60128,18.22362,4.57,"Stegastes variabilis"
"gbif",-67.16822,18.46281,6.71,"Stegastes variabilis"
"gbif",-66.0823,18.46118,1.52,"Stegastes variabilis"
"gbif",-67.26918,18.35743,3.05,"Stegastes variabilis"
"gbif",-67.16267,18.45713,7.62,"Stegastes variabilis"
"gbif",-67.16822,18.46281,7.62,"Stegastes variabilis"
"gbif",-66.08705,18.45372,4.27,"Stegastes variabilis"
"gbif",-65.2773,18.27587,18,"Stegastes variabilis"
"gbif",-65.19714,18.13869,31.5,"Stegastes variabilis"
"gbif",-65.332,18.32779,11,"Stegastes variabilis"
"gbif",-65.32772,18.30493,4,"Stegastes variabilis"
"gbif",-65.48794,18.08057,11,"Stegastes variabilis"
"gbif",-65.56711,18.35466,18,"Stegastes variabilis"
"gbif",-65.56555,18.33537,11,"Stegastes variabilis"
"gbif",-65.53089,18.36033,4,"Stegastes variabilis"
"gbif",-65.62972,18.38544,4,"Stegastes variabilis"
"gbif",-65.59008,18.08964,18,"Stegastes variabilis"
"gbif",-67.0779,17.9412,1.22,"Stegastes variabilis"
"gbif",-66.0517,18.46222,4,"Stegastes variabilis"
"gbif",-66.3736,18.48955,11,"Stegastes variabilis"
"gbif",-66.0823,18.46118,1.83,"Stegastes variabilis"
"gbif",-65.60128,18.22362,5.49,"Stegastes variabilis"
"gbif",-67.26918,18.35743,2.74,"Stegastes variabilis"
"gbif",-74.2397,11.20797,NA,"Stegastes variabilis"
